path,asset_class,language,bytes,loc,tracked,dependency_graph_included
src/agent/factory.py,backend_source,py,5675,177,True,True
src/agent/interfaces.py,backend_source,py,4569,149,True,True
src/agent/llm_agent.py,backend_source,py,7221,208,True,True
src/agent/orchestrator.py,backend_source,py,9610,239,True,True
src/agent/protocol.py,backend_source,py,2806,94,True,True
src/agent/registry.py,backend_source,py,2526,74,True,True
src/agent/runner.py,backend_source,py,7438,216,True,True
src/agent/strategies.py,backend_source,py,33656,944,True,True
src/agent/types.py,backend_source,py,11459,249,True,True
src/agent_activities/__init__.py,backend_source,py,312,11,True,True
src/agent_activities/persistent_overwrite.py,backend_source,py,4569,99,True,True
src/agent_activities/runtime.py,backend_source,py,66284,1499,True,True
src/agent_activities/side_effects.py,backend_source,py,1475,55,True,True
src/agent_activities/store.py,backend_source,py,17223,395,True,True
src/agent_execution/__init__.py,backend_source,py,49,1,True,True
src/agent_execution/audit.py,backend_source,py,2399,75,True,True
src/agent_execution/brain_action_loop.py,backend_source,py,30427,705,True,True
src/agent_execution/facade.py,backend_source,py,5036,186,True,True
src/agent_execution/model_budget_context.py,backend_source,py,1481,55,True,True
src/agent_execution/qq_host.py,backend_source,py,20342,593,True,True
src/agent_execution/run_budget.py,backend_source,py,11396,261,True,True
src/agent_execution/tracing/__init__.py,backend_source,py,971,29,True,True
src/agent_execution/tracing/context.py,backend_source,py,1097,40,True,True
src/agent_execution/tracing/instrumentation.py,backend_source,py,2312,78,True,True
src/agent_execution/tracing/lifecycle.py,backend_source,py,1570,58,True,True
src/agent_execution/tracing/metadata.py,backend_source,py,4066,106,True,True
src/agent_execution/tracing/models.py,backend_source,py,911,45,True,True
src/agent_execution/tracing/repository.py,backend_source,py,8576,192,True,True
src/agent_execution/tracing/sink.py,backend_source,py,7699,240,True,True
src/agent_execution/web_adapters.py,backend_source,py,6049,159,True,True
src/agent_execution/web_events.py,backend_source,py,7711,226,True,True
src/agent_execution/web_host.py,backend_source,py,6263,173,True,True
src/agent_workflows/__init__.py,backend_source,py,224,5,True,True
src/agent_workflows/agent_run.py,backend_source,py,1972,51,True,True
src/agent_workflows/agent_step.py,backend_source,py,4917,125,True,True
src/agent_workflows/contracts.py,backend_source,py,5957,275,True,True
src/agent_workflows/plan_execute.py,backend_source,py,9390,208,True,True
src/agent_workflows/react.py,backend_source,py,7572,191,True,True
src/agent_workflows/tool_execution.py,backend_source,py,4929,115,True,True
src/application/__init__.py,backend_source,py,41,2,True,True
src/application/context_assembly.py,backend_source,py,10093,258,True,True
src/application/conversation.py,backend_source,py,8500,247,True,True
src/application/identity_commands.py,backend_source,py,1867,54,True,True
src/application/ingress.py,backend_source,py,6375,165,True,True
src/application/memory.py,backend_source,py,7669,235,True,True
src/application/memory_reflection.py,backend_source,py,787,22,True,True
src/application/memory_retention.py,backend_source,py,5956,146,True,True
src/application/metrics.py,backend_source,py,349,12,True,True
src/application/reply.py,backend_source,py,6792,193,True,True
src/application/session_archive.py,backend_source,py,4553,127,True,True
src/bootstrap/__init__.py,backend_source,py,33,1,True,True
src/bootstrap/qq.py,backend_source,py,4476,125,True,True
src/brain/__init__.py,backend_source,py,105,5,True,True
src/brain/engine.py,backend_source,py,6532,192,True,True
src/channels/__init__.py,backend_source,py,1771,39,True,True
src/channels/base.py,backend_source,py,3593,110,True,True
src/channels/console.py,backend_source,py,4566,131,True,True
src/channels/napcat.py,backend_source,py,23197,543,True,True
src/channels/official_qq.py,backend_source,py,37915,905,True,True
src/channels/router.py,backend_source,py,2587,77,True,True
src/common/__init__.py,backend_source,py,823,36,True,True
src/common/errors.py,backend_source,py,6123,144,True,True
src/common/interfaces.py,backend_source,py,3388,111,True,True
src/common/logging.py,backend_source,py,4413,119,True,True
