path,symbol,operation,resource,evidence,method
scripts/observability-viewer.py,PostgresReader.snapshot,FROM,hpagent.conversations,scripts/observability-viewer.py:288,SQL_LITERAL
scripts/observability-viewer.py,PostgresReader.snapshot,FROM,hpagent.workflow_executions,scripts/observability-viewer.py:291,SQL_LITERAL
scripts/observability-viewer.py,PostgresReader.snapshot,FROM,hpagent.outbox_events,scripts/observability-viewer.py:294,SQL_LITERAL
scripts/observability-viewer.py,PostgresReader.durable_debug_snapshot,FROM,hpagent.agent_transcript_events,scripts/observability-viewer.py:334,SQL_LITERAL
src/account/bootstrap.py,_insert_binding,INSERT INTO,identity_bindings,src/account/bootstrap.py:118,SQL_LITERAL
src/account/bootstrap.py,_find_active_account,FROM,identity_bindings,src/account/bootstrap.py:102,SQL_LITERAL
src/account/bootstrap.py,bootstrap_identity,INSERT INTO,accounts,src/account/bootstrap.py:85,SQL_LITERAL
src/account/credentials.py,PostgresPasswordCredentialAdapter.verify_with_presence,FROM,identity_bindings,src/account/credentials.py:45,SQL_LITERAL
src/account/credentials.py,PostgresPasswordCredentialAdapter.verify_with_presence,JOIN,accounts,src/account/credentials.py:45,SQL_LITERAL
src/account/credentials.py,PostgresPasswordCredentialAdapter.verify_with_presence,JOIN,web_credentials,src/account/credentials.py:45,SQL_LITERAL
src/account/identity_binding_service.py,IdentityBindingService._consume_pending_qq_challenge,UPDATE,identity_binding_challenges,src/account/identity_binding_service.py:260,SQL_LITERAL
src/account/identity_binding_service.py,IdentityBindingService._consolidate_empty_web_account,UPDATE,web_auth_sessions,src/account/identity_binding_service.py:328,SQL_LITERAL
src/account/identity_binding_service.py,IdentityBindingService._consolidate_empty_web_account,UPDATE,identity_bindings,src/account/identity_binding_service.py:333,SQL_LITERAL
src/account/identity_binding_service.py,IdentityBindingService._consolidate_empty_web_account,UPDATE,identity_binding_challenges,src/account/identity_binding_service.py:338,SQL_LITERAL
src/account/identity_binding_service.py,IdentityBindingService._consolidate_empty_web_account,UPDATE,identity_binding_challenges,src/account/identity_binding_service.py:343,SQL_LITERAL
src/account/identity_binding_service.py,IdentityBindingService._consolidate_empty_web_account,UPDATE,accounts,src/account/identity_binding_service.py:348,SQL_LITERAL
