source,expression,target,evidence,config_gates
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preflight,load_manifest,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::load_manifest,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:405,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preflight,print,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:406,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,load_manifest,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::load_manifest,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:427,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,sorted,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:429,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,Path(required['HPAGENT_BENCHMARK_WORKSPACE']).resolve,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:447,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,HpAgentClient,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:448,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,environment_record,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:458,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,set,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:459,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,tuple,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:460,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,set,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:461,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,argparse.ArgumentParser,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:582,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,result.add_subparsers,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:583,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,sub.add_parser,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:584,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,check.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:585,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,sub.add_parser,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:586,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:587,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:588,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:589,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:590,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:591,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:592,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:593,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:594,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:595,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:596,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::parser,execute.add_argument,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:597,
