path,object_kind,object_name,evidence
persistence/migrations/022_research_r3_r4.sql,TABLE,research_claims,persistence/migrations/022_research_r3_r4.sql:31
persistence/migrations/022_research_r3_r4.sql,TABLE,research_citations,persistence/migrations/022_research_r3_r4.sql:48
persistence/migrations/022_research_r3_r4.sql,TABLE,research_reports,persistence/migrations/022_research_r3_r4.sql:88
persistence/migrations/022_research_r3_r4.sql,FUNCTION,publish_research_artifact,persistence/migrations/022_research_r3_r4.sql:112
persistence/migrations/025_file_document_worker.sql,TABLE,normalized_documents,persistence/migrations/025_file_document_worker.sql:4
persistence/migrations/027_file_output_lineage.sql,FUNCTION,enforce_stored_file_lineage,persistence/migrations/027_file_output_lineage.sql:16
persistence/migrations/027_file_output_lineage.sql,TRIGGER,tr_stored_files__lineage,persistence/migrations/027_file_output_lineage.sql:37
persistence/migrations/028_file_lineage_immutability.sql,FUNCTION,enforce_stored_file_lineage,persistence/migrations/028_file_lineage_immutability.sql:4
persistence/migrations/029_file_action_approvals.sql,TABLE,file_action_approvals,persistence/migrations/029_file_action_approvals.sql:4
persistence/migrations/031_persistent_web_file_foundation.sql,TABLE,persistent_file_destinations,persistence/migrations/031_persistent_web_file_foundation.sql:28
persistence/migrations/031_persistent_web_file_foundation.sql,TABLE,persistent_file_revisions,persistence/migrations/031_persistent_web_file_foundation.sql:52
